Folder,Filename,FullPath,IssueType,Details,Width,Height,MeanBrightness,StdDev,LaplacianVar
01.01\2014\K2\10X,01_01-2014_03_27-09_59-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2014\K2\10X\01_01-2014_03_27-09_59-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2014\K2\10X,01_01-2014_06_06-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2014\K2\10X\01_01-2014_06_06-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 30.24),1920,1080,119.49,23.71,30.24
01.01\2014\K2\10X,01_01-2014_12_02-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2014\K2\10X\01_01-2014_12_02-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2014\K2\1X,01_01-2014_03_27-10_01-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2014\K2\1X\01_01-2014_03_27-10_01-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2014\K2\1X,01_01-2014_12_02-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2014\K2\1X\01_01-2014_12_02-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_01_23-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_01_23-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_01_24-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_01_24-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_01_25-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_01_25-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_01_26-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_01_26-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_01_29-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_01_29-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_02-10_01-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_02-10_01-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_03-10_02-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_03-10_02-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_09-10_43-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_09-10_43-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_10-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_10-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_17-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_17-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_21-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_21-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_26-10_44-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_26-10_44-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_02_28-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_02_28-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_03_01-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_03_01-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
01.01\2015\K1\10X,01_01-2015_03_02-10_00-K1-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\01.01\2015\K1\10X\01_01-2015_03_02-10_00-K1-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
