ID,Station Code,Year,1-Sowing,2 - Emergence,3 - Tillering,4 - Stem Elongation,5 - Heading,6 - Flowering,7 - Maturity,8 - Harvest,BBCH 0,BBCH 1,BBCH 2,BBCH 3,BBCH 5,BBCH 6_7,BBCH 8,total,kamera,bitki,yorumlar
1,01.01,2014,2014-12-05 00:00:00,2014-12-16 00:00:00,2015-01-08 00:00:00,2015-03-02 00:00:00,2015-03-26 00:00:00,2015-04-12 00:00:00,2015-05-17 00:00:00,2015-06-10 00:00:00,11,23,53,24,17,35,24,187,1,bugday,
2,01.05,2016,2016-11-16 00:00:00,2016-12-22 00:00:00,2017-01-17 00:00:00,2017-03-06 00:00:00,2017-04-08 00:00:00,2017-04-19 00:00:00,2017-05-18 00:00:00,2017-06-08 00:00:00,36,26,48,33,11,29,21,204,2,bugday,
3,02.02,2014,2014-12-02 00:00:00,2014-12-24 00:00:00,2015-02-19 00:00:00,2015-03-06 00:00:00,2015-05-01 00:00:00,2015-05-17 00:00:00,2015-05-28 00:00:00,2015-07-02 00:00:00,22,57,15,56,16,11,35,212,1,bugday,
4,02.03,2013,2013-11-03 00:00:00,2013-11-17 00:00:00,2014-01-31 00:00:00,2014-03-07 00:00:00,2014-04-20 00:00:00,2014-05-02 00:00:00,2014-05-12 00:00:00,2014-06-12 00:00:00,14,75,35,44,12,10,31,221,1,bugday,
5,02.03,2014,2014-11-15 00:00:00,2014-12-05 00:00:00,2015-01-25 00:00:00,2015-03-20 00:00:00,2015-04-19 00:00:00,2015-05-09 00:00:00,2015-05-22 00:00:00,2015-06-13 00:00:00,20,51,54,30,20,13,22,210,1,bugday,
6,02.04,2013,2013-11-24 00:00:00,2013-12-15 00:00:00,2014-02-15 00:00:00,2014-03-06 00:00:00,2014-04-20 00:00:00,2014-05-05 00:00:00,2014-05-18 00:00:00,2014-06-17 00:00:00,21,62,19,45,15,13,30,205,1,bugday,
7,02.05,2013,2013-11-15 00:00:00,2013-12-25 00:00:00,2014-02-08 00:00:00,2014-03-06 00:00:00,2014-04-20 00:00:00,2014-05-03 00:00:00,2014-05-20 00:00:00,2014-06-24 00:00:00,40,45,26,45,13,17,35,221,1,bugday,
8,02.06,2016,2016-11-12 00:00:00,2016-12-07 00:00:00,2017-02-15 00:00:00,2017-03-16 00:00:00,2017-05-02 00:00:00,2017-05-16 00:00:00,2017-06-05 00:00:00,2017-06-20 00:00:00,25,70,29,47,14,20,15,220,2,bugday,
9,06.01,2013,2013-11-14 00:00:00,2014-02-27 00:00:00,2014-03-29 00:00:00,2014-04-22 00:00:00,2014-05-22 00:00:00,2014-06-06 00:00:00,2014-06-25 00:00:00,2014-07-22 00:00:00,105,30,24,30,15,19,27,250,1,bugday,
10,06.02,2013,2013-12-19 00:00:00,2014-02-13 00:00:00,2014-03-25 00:00:00,2014-04-22 00:00:00,2014-05-23 00:00:00,2014-06-04 00:00:00,2014-07-04 00:00:00,2014-07-24 00:00:00,56,40,28,31,12,30,20,217,1,bugday,
11,06.02,2016,2016-09-23 00:00:00,2017-03-05 00:00:00,2017-04-16 00:00:00,2017-04-25 00:00:00,2017-05-27 00:00:00,2017-06-06 00:00:00,2017-07-09 00:00:00,2017-07-24 00:00:00,163,42,9,32,10,33,15,304,1,bugday,fotoğraflar iyi değil
12,11.03,2016,2016-11-27 00:00:00,2017-02-01 00:00:00,2017-03-10 00:00:00,2017-04-01 00:00:00,2017-05-10 00:00:00,2017-05-31 00:00:00,2017-06-25 00:00:00,2017-07-10 00:00:00,66,37,22,39,21,25,15,225,1,bugday,
13,26.11,2016,2016-10-19 00:00:00,2017-02-11 00:00:00,2017-04-02 00:00:00,2017-05-05 00:00:00,2017-05-22 00:00:00,2017-05-29 00:00:00,2017-06-23 00:00:00,2017-07-23 00:00:00,115,50,33,17,7,25,30,277,1,bugday,
14,26.12,2016,2016-09-29 00:00:00,2017-02-05 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-05-23 00:00:00,2017-06-03 00:00:00,2017-07-02 00:00:00,2017-07-21 00:00:00,129,55,30,22,11,29,19,295,1,bugday,
15,27.02,2016,2016-11-14 00:00:00,2016-12-03 00:00:00,2017-02-07 00:00:00,2017-03-13 00:00:00,2017-05-03 00:00:00,2017-05-17 00:00:00,2017-06-04 00:00:00,2017-06-22 00:00:00,19,66,34,51,14,18,18,220,1,bugday,
16,27.04,2016,2016-11-14 00:00:00,2016-12-15 00:00:00,2017-02-20 00:00:00,2017-03-17 00:00:00,2017-04-27 00:00:00,2017-05-20 00:00:00,2017-06-05 00:00:00,2017-06-20 00:00:00,31,67,25,41,23,16,15,218,1,bugday,
17,27.05,2013,2013-12-02 00:00:00,2013-12-26 00:00:00,2014-01-29 00:00:00,2014-03-11 00:00:00,2014-04-16 00:00:00,2014-05-05 00:00:00,2014-06-03 00:00:00,2014-06-12 00:00:00,24,34,41,36,19,29,9,192,1,bugday,
