ID,Station Code,Year,1-Ekim,2 - Çıkış,3 - Çimlenme,4 - Kardeşlenme,5 - Sapa Kalkma,6 - Başaklanma,7 - Çiçeklenme,8 - Olgunlaşma,9 - Hasat,PS1 - Emergence,PS2 - Floral Initiation,PS3 - Terminal Spikelet,PS4 - First Node,PS5 - Heading,PS6 - Anthesis,PS7 - Maturity,PS8 - Pre Harvest,total,kamera,bitki,saat/kamera - EKİM
1,01.01,2014,2014-12-05,2014-12-16,2014-12-28,2015-01-07,2015-03-02,2015-04-01,2015-04-12,2015-05-17,2015-06-10,11,12,10,54,30,11,35,24,187,1,,
2,01.05,2016,2016-11-16,2016-12-22,2017-01-04,2017-01-17,2017-03-06,2017-04-08,2017-04-19,2017-05-18,2017-06-08,36,13,13,48,33,11,29,21,204,2,,
3,02.02,2014,12/2/2014,24.12.2014,13.01.2015,19.02.2015,6.03.2015,01.05.2015,17.05.2015,28.05.2015,02.07.2015,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,35,212,1,bugday,
4,02.03,2013,03.11.2013,17.11.2013,07.01.2014,31.01.2014,07.03.2014,12.04.2014,21.04.2014,12.05.2014,12.06.2014,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,bugday,
5,02.03,2014,15.11.2014,05.12.2014,27.12.2014,25.01.2015,20.03.2015,19.04.2015,09.05.2015,22.05.2015,13.06.2015,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,bugday,
6,02.04,2013,24.11.2013,15.12.2013,28.01.2014,15.02.2014,06.03.2014,20.04.2014,05.05.2014,18.05.2014,17.06.2014,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,bugday,
7,02.05,2013,15.11.2013,25.12.2013,12.01.2014,08.02.2014,06.03.2014,20.04.2014,28.04.2014,20.05.2014,24.06.2014,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,bugday,
8,02.06,2016,11/12/2016,12/7/2016,1/10/2017,2/15/2017,3/16/2017,5/2/2017,5/16/2017,6/5/2017,6/20/2017,25,34,36,29,47,14,20,15,220,2,Buğday,k2
9,06.01,2013,11/14/2013,3/7/2014,4/1/2014,4/16/2014,4/22/2014,5/21/2014,6/13/2014,6/25/2014,7/22/2014,113,25,15,6,29,23,12,27,250,1,bugday,k1
10,06.02,2013,19.12.2013,12.02.2014,28.02.2014,25.03.2014,12.04.2014,26.05.2014,16.06.2014,04.07.2014,24.07.2014,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,bugday,
11,06.02,2016,9/23/2016,3/5/2017,3/26/2017,4/16/2017,4/25/2017,5/27/2017,6/6/2017,7/9/2017,7/24/2017,163,21,21,9,32,10,33,15,304,,Buğday,
12,11.03,2016,11/27/2016,1/15/2017,2/12/2017,3/4/2017,4/1/2017,5/10/2017,5/31/2017,6/25/2017,7/10/2017,49,28,20,28,39,21,25,15,225,,Buğday,
13,26.11,2016,10/19/2016,2/11/2017,3/15/2017,4/2/2017,5/5/2017,5/22/2017,5/29/2017,6/23/2017,7/23/2017,115,32,18,33,17,7,25,30,277,,,
14,26.12,2016,9/29/2016,2/5/2017,3/3/2017,4/1/2017,5/1/2017,5/23/2017,6/3/2017,7/2/2017,7/21/2017,129,26,29,30,22,11,29,19,295,,,
15,27.02,2016,11/14/2016,12/3/2016,1.2.2017,2/7/2017,3/13/2017,5/3/2017,5/17/2017,6/4/2017,6/22/2017,19,#VALUE!,#VALUE!,34,51,14,18,18,#VALUE!,,,
16,27.04,2016,11/14/2016,12/15/2016,1/17/2017,2/20/2017,3/17/2017,4/27/2017,5/20/2017,6/5/2017,6/20/2017,31,33,34,25,41,23,16,15,218,,,
17,27.05,2013,9/11/2013,12/26/2013,1/3/2014,1/29/2014,3/11/2014,4/16/2014,5.5.2014,6/3/2014,6/12/2014,106,8,26,41,36,#VALUE!,#VALUE!,9,#VALUE!,,,
18,27.05,2016,11/29/2016,12/26/2016,1/16/2017,2/17/2017,3/20/2017,4/28/2017,5/17/2017,6/1/2017,6/12/2017,27,21,32,31,39,19,15,11,195,,,
,,,,,,,,,,",",,,,,,,,,,,,,
