path,relative_path,station,year,camera,timestamp,folder_label,filename_label,visual_label,visual_confidence,score_1x,score_10x,reference_1x,reference_10x,scale_to_1x,scale_to_10x,inliers_1x,inliers_10x,status,reason
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_02-10_51-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_02-10_51-K1-10X.jpeg,02.03,2015,K1,2015-01-02 10:51:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_02-10_51-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_11-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_11-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_11-10_00-K1-10X.jpeg,02.03,2015,K1,2015-01-11 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_11-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_15-10_52-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_15-10_52-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_15-10_52-K1-10X.jpeg,02.03,2015,K1,2015-01-15 10:52:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_15-10_52-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_16-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_16-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_16-10_00-K1-10X.jpeg,02.03,2015,K1,2015-01-16 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_16-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_15-10_52-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_17-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_17-10_00-K1-10X.jpeg,02.03,2015,K1,2015-01-17 10:00:00,10X,10X,10X,1.0,0.0,0.166842,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_17-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_16-10_00-K1-10X.jpeg,nan,1.0523570847290629,0,9,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_19-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_19-10_00-K1-10X.jpeg,02.03,2015,K1,2015-01-19 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_19-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_21-09_30-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_21-09_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_01_21-09_30-K1-10X.jpeg,02.03,2015,K1,2015-01-21 09:30:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_01_21-09_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_01_19-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_05-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_05-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-05 10:00:00,10X,10X,10X,1.0,0.0,0.828821,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_05-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_06-09_30-K1-10X.jpeg,nan,1.0504920216310147,0,42,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_06-09_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_06-09_30-K1-10X.jpeg,02.03,2015,K1,2015-02-06 09:30:00,10X,10X,10X,0.999057,0.000757,0.802317,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_06-09_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_05-10_00-K1-10X.jpeg,0.09978292950655324,0.9522296822366535,9,52,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_08-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_08-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-08 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_08-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_10-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
