station_year,group_id,station_code,year,date,macro_path,micro_path,label,target
02.02_2014,1,2.02,2014,2014-09-03,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_03-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_03-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-04,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_04-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_04-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-05,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_05-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_05-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-06,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_06-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_06-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-07,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_07-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_07-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-08,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_08-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_08-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-09,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_09-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_09-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-10,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_10-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_10-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-11,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_11-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_11-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-12,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_12-11_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_12-12_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-13,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_13-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_13-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-14,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_14-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_14-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-15,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_15-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_15-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-16,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_16-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_16-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-17,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_17-10_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_17-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-18,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_18-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_18-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-19,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_19-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_19-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
02.02_2014,1,2.02,2014,2014-09-20,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\1X\02_02-2014_09_20-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.02\2014\K1\10X\02_02-2014_09_20-10_00-K1-10X.jpeg,Dormancy,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
