Row,Station,Year,Camera,Image Count,Peak ExG Date,Peak ExG Val,Labeled Emergence,Detected Emergence,Emergence Offset (Days),Labeled Heading,Labeled Harvest,Detected Harvest,Harvest Offset (Days)
0,01.01,2014,K1,91,2015-02-03,0.60386601032327,2014-12-16,2014-12-22,6,2015-04-01,2015-06-10,2015-05-25,-16
1,01.05,2016,K2,112,2017-01-25,0.4278506804177433,2016-12-22,2016-12-19,-3,2017-04-08,2017-06-08,2017-06-04,-4
2,02.02,2014,K1,181,2015-04-18,0.3208579101343503,2014-12-24,2014-12-24,0,2015-05-01,2015-07-02,2015-06-03,-29
3,02.03,2013,K1,152,2014-03-23,0.4916386828882596,2013-11-17,2014-01-19,63,2014-04-12,2014-06-12,2014-05-15,-28
4,02.03,2014,K1,129,2015-03-26,0.5679999675778913,2014-12-05,2014-12-08,3,2015-04-19,2015-06-13,2015-06-01,-12
5,02.04,2013,K1,161,2014-03-26,0.42398642665364084,2013-12-15,2013-12-25,10,2014-04-20,2014-06-17,2014-06-05,-12
6,02.05,2013,K1,133,2014-03-21,0.5935662405219488,2013-12-25,2013-12-31,6,2014-04-20,2014-06-24,2014-05-27,-28
7,02.06,2016,K3,166,2017-06-20,0.04840815193664762,2016-12-07,2016-12-18,11,2017-05-02,2017-06-20,2017-06-20,0
8,06.01,2013,K1,186,2014-05-10,0.3041328524448157,2014-03-07,2014-03-09,2,2014-05-21,2014-07-22,2014-06-30,-22
9,06.02,2013,K1,153,2014-05-06,0.254378724755721,2014-02-12,2014-04-13,60,2014-05-26,2014-07-24,2014-07-09,-15
10,06.02,2016,K1,167,2017-06-01,0.014217712199505227,2017-03-05,2016-09-27,-159,2017-05-27,2017-07-24,2017-06-02,-52
11,11.03,2016,K1,150,2017-07-06,0.08130952580485508,2017-01-15,2017-03-05,49,2017-05-10,2017-07-10,2017-07-08,-2
12,26.11,2016,K1,185,2017-05-23,0.3187939650759686,2017-02-11,2016-11-15,-88,2017-05-22,2017-07-23,2017-06-17,-36
13,26.12,2016,K1,148,2017-05-23,0.2743636863155212,2017-02-05,2016-10-01,-127,2017-05-23,2017-07-21,2017-07-01,-20
14,27.02,2016,K1,157,2017-04-10,0.5669202864786558,2016-12-03,2017-01-11,39,2017-05-03,2017-06-22,2017-06-11,-11
15,27.04,2016,K1,186,2017-03-29,0.3842061014974607,2016-12-15,2016-12-15,0,2017-04-27,2017-06-20,2017-06-10,-10
16,27.05,2013,K1,162,2014-03-11,0.31719876351030263,2013-12-26,2013-12-31,5,2014-04-16,2014-06-12,2014-06-08,-4
