Row,Station,Year,Camera,Image Count,Curve Quality,Peak ExG Date,Peak ExG Val,Labeled Emergence,Detected Emergence,Emergence Offset,Labeled Heading,Heading Offset,Labeled Harvest,Detected Harvest,Harvest Offset
0,01.01,2014,K1,91,STRONG SIGNAL,2015-02-03,0.6039,2014-12-16,2014-12-28,12,2015-04-01,-57,2015-06-10,2015-05-08,-33
1,01.05,2016,K2,112,STRONG SIGNAL,2017-01-25,0.4279,2016-12-22,2017-01-05,14,2017-04-08,-73,2017-06-08,2017-04-16,-53
2,02.02,2014,K1,181,STRONG SIGNAL,2015-04-18,0.3209,2014-12-24,2015-01-03,10,2015-05-01,-13,2015-07-02,2015-05-31,-32
3,02.03,2013,K1,152,STRONG SIGNAL,2014-03-23,0.4916,2013-11-17,2014-01-25,69,2014-04-12,-20,2014-06-12,2014-05-14,-29
4,02.03,2014,K1,129,STRONG SIGNAL,2015-03-26,0.568,2014-12-05,2014-12-11,6,2015-04-19,-24,2015-06-13,2015-05-28,-16
5,02.04,2013,K1,161,STRONG SIGNAL,2014-03-26,0.424,2013-12-15,2014-01-23,39,2014-04-20,-25,2014-06-17,2014-04-15,-63
6,02.05,2013,K1,133,STRONG SIGNAL,2014-03-21,0.5936,2013-12-25,2014-01-01,7,2014-04-20,-30,2014-06-24,2014-05-26,-29
7,02.06,2016,K3,166,FLAT / NO SIGNAL,2017-06-20,0.0484,2016-12-07,N/A,N/A,2017-05-02,49,2017-06-20,N/A,N/A
8,06.01,2013,K1,186,STRONG SIGNAL,2014-05-10,0.3041,2014-02-27,2014-03-09,10,2014-05-18,-8,2014-07-22,2014-06-29,-23
9,06.02,2013,K1,153,STRONG SIGNAL,2014-05-06,0.2544,2014-02-13,2014-04-22,68,2014-05-23,-17,2014-07-24,2014-05-21,-64
10,06.02,2016,K1,167,FLAT / NO SIGNAL,2017-06-01,0.0142,2017-03-05,N/A,N/A,2017-05-27,5,2017-07-24,2017-06-02,-52
11,11.03,2016,K1,150,FLAT / NO SIGNAL,2017-07-06,0.0813,2017-02-01,2017-03-07,34,2017-05-10,57,2017-07-10,2017-07-08,-2
12,26.11,2016,K1,185,STRONG SIGNAL,2017-05-23,0.3188,2017-02-11,2017-03-19,36,2017-05-22,1,2017-07-23,2017-05-24,-60
13,26.12,2016,K1,148,STRONG SIGNAL,2017-05-23,0.2744,2017-02-05,2017-04-18,72,2017-05-23,0,2017-07-21,2017-06-01,-50
14,27.02,2016,K1,157,STRONG SIGNAL,2017-04-10,0.5669,2016-12-03,2017-01-19,47,2017-05-03,-23,2017-06-22,2017-06-07,-15
15,27.04,2016,K1,186,STRONG SIGNAL,2017-03-29,0.3842,2016-12-15,2017-02-10,57,2017-04-27,-29,2017-06-20,2017-06-05,-15
16,27.05,2013,K1,162,STRONG SIGNAL,2014-03-11,0.3172,2013-12-26,2014-01-09,14,2014-04-16,-36,2014-06-12,2014-06-02,-10
17,27.05,2016,K1,0,NO IMAGES,N/A,0.0,2016-12-26,N/A,N/A,2017-04-28,N/A,2017-06-12,N/A,N/A
