RelPath,Status,Detail,Width,Height,MeanR,MeanG,MeanB,ColorDiff,BrightPct,DarkPct,LaplacianVar
2013\K1\10X\02_03-2013_04_03-10_49-K1-10X.jpeg,OK,Clean image,2288,1712,106.3,149.1,41.3,71.83,0.0%,0.9%,1275.61
2013\K1\10X\02_03-2013_04_06-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,95.0,136.6,38.6,65.33,0.1%,2.1%,1644.52
2013\K1\10X\02_03-2013_04_07-10_23-K1-10X.jpeg,OK,Clean image,2288,1712,98.5,143.1,36.3,71.23,0.0%,0.1%,392.04
2013\K1\10X\02_03-2013_04_11-10_00-K1-10X.jpeg,BORDERLINE_BLUR,Borderline blurry (Laplacian var: 65.70),2288,1712,96.4,147.4,42.9,69.66,0.0%,0.0%,65.70
2013\K1\10X\02_03-2013_04_16-09_31-K1-10X.jpeg,OK,Clean image,2288,1712,93.2,135.6,75.0,40.47,0.0%,0.0%,645.08
2013\K1\10X\02_03-2013_04_17-11_05-K1-10X.jpeg,OK,Clean image,2288,1712,91.6,136.6,66.9,46.62,0.3%,0.0%,1559.90
2013\K1\10X\02_03-2013_04_23-10_26-K1-10X.jpeg,OK,Clean image,2288,1712,104.2,144.0,69.1,49.99,0.3%,0.0%,1564.64
2013\K1\10X\02_03-2013_04_24-09_56-K1-10X.jpeg,OK,Clean image,2288,1712,103.8,140.9,68.2,48.50,0.2%,0.0%,1597.28
2013\K1\10X\02_03-2013_04_25-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,102.9,138.8,70.2,45.79,0.1%,0.0%,1202.93
2013\K1\10X\02_03-2013_05_05-09_58-K1-10X.jpeg,OK,Clean image,2288,1712,122.1,137.6,75.8,41.28,0.0%,0.0%,808.18
2013\K1\10X\02_03-2013_05_06-09_45-K1-10X.jpeg,OK,Clean image,2288,1712,129.0,141.6,79.1,41.75,0.0%,0.0%,784.12
2013\K1\10X\02_03-2013_05_07-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,121.9,128.2,72.9,37.08,0.0%,0.0%,369.67
2013\K1\10X\02_03-2013_05_08-11_25-K1-10X.jpeg,OK,Clean image,2288,1712,116.4,121.7,67.8,36.33,0.0%,0.0%,728.41
2013\K1\10X\02_03-2013_05_09-10_42-K1-10X.jpeg,OK,Clean image,2288,1712,125.6,130.0,73.1,38.45,0.0%,0.0%,456.21
2013\K1\10X\02_03-2013_05_10-10_47-K1-10X.jpeg,OK,Clean image,2288,1712,136.0,138.3,76.6,42.10,0.0%,0.0%,168.31
2013\K1\10X\02_03-2013_05_17-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,131.9,130.2,70.7,42.06,0.0%,0.0%,727.60
2013\K1\10X\02_03-2013_05_18-09_36-K1-10X.jpeg,OK,Clean image,2288,1712,136.1,130.1,70.0,44.56,0.0%,0.0%,558.52
2013\K1\10X\02_03-2013_05_21-10_06-K1-10X.jpeg,OK,Clean image,2288,1712,137.7,125.4,71.6,44.13,0.0%,0.0%,534.09
2013\K1\10X\02_03-2013_05_25-10_13-K1-10X.jpeg,OK,Clean image,2288,1712,142.1,121.5,74.9,44.81,0.0%,0.0%,317.28
2013\K1\10X\02_03-2013_05_28-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,151.8,128.0,85.2,44.41,0.0%,0.0%,573.89
2013\K1\10X\02_03-2013_05_31-10_10-K1-10X.jpeg,OK,Clean image,2288,1712,149.4,127.4,83.6,43.90,0.0%,0.0%,217.48
2013\K1\10X\02_03-2013_06_04-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,146.2,126.8,85.7,40.36,0.0%,0.0%,426.58
2013\K1\10X\02_03-2013_06_12-10_07-K1-10X.jpeg,OK,Clean image,2288,1712,147.7,129.0,89.6,38.75,0.0%,0.0%,926.24
2013\K1\10X\02_03-2013_06_14-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,146.4,126.9,89.2,38.13,0.0%,0.0%,882.94
2013\K1\10X\02_03-2013_06_15-10_01-K1-10X.jpeg,OK,Clean image,2288,1712,146.8,127.9,90.9,37.32,0.0%,0.0%,968.70
2013\K1\10X\02_03-2013_06_17-09_54-K1-10X.jpeg,OK,Clean image,1920,1080,124.4,118.7,123.1,10.00,0.0%,0.0%,1893.84
2013\K1\10X\02_03-2013_06_19-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,148.4,131.7,92.7,37.12,0.0%,0.0%,187.33
2013\K1\10X\02_03-2013_06_21-09_47-K1-10X.jpeg,OK,Clean image,2288,1712,146.0,128.7,91.1,36.63,0.0%,0.0%,1022.52
2013\K1\10X\02_03-2013_06_22-10_11-K1-10X.jpeg,OK,Clean image,2288,1712,138.7,122.9,86.0,35.21,0.0%,0.0%,939.33
2013\K1\10X\02_03-2013_06_25-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,136.3,126.4,95.4,27.37,0.0%,0.0%,605.75
2013\K1\10X\02_03-2013_06_26-09_47-K1-10X.jpeg,OK,Clean image,2288,1712,133.8,122.3,96.9,24.73,0.1%,0.0%,1653.94
2013\K1\10X\02_03-2013_06_27-10_06-K1-10X.jpeg,OK,Clean image,2288,1712,134.1,123.0,94.6,26.48,0.1%,0.0%,1513.16
2013\K1\10X\02_03-2013_06_28-09_51-K1-10X.jpeg,OK,Clean image,2288,1712,134.7,123.1,94.6,26.87,0.1%,0.0%,1462.62
2013\K1\10X\02_03-2013_06_30-09_49-K1-10X.jpeg,OK,Clean image,2288,1712,132.7,122.3,93.8,26.02,0.1%,0.0%,1450.81
2013\K1\10X\02_03-2013_07_03-09_50-K1-10X.jpeg,OK,Clean image,2288,1712,129.4,121.1,90.0,26.40,0.1%,0.1%,1720.69
2013\K1\10X\02_03-2013_07_04-10_09-K1-10X.jpeg,OK,Clean image,2288,1712,132.5,120.8,93.2,26.28,0.1%,0.0%,1494.53
2013\K1\10X\02_03-2013_07_10-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,133.0,121.9,89.4,29.12,0.0%,0.0%,157.62
2013\K1\10X\02_03-2013_07_11-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,132.5,121.3,92.2,27.00,0.1%,0.0%,1384.49
2013\K1\10X\02_03-2013_07_12-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,130.3,119.7,93.1,24.96,0.1%,0.0%,1441.65
2013\K1\10X\02_03-2013_07_13-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,130.9,120.5,94.6,24.31,0.1%,0.0%,1479.34
2013\K1\10X\02_03-2013_07_15-10_12-K1-10X.jpeg,OK,Clean image,2288,1712,131.2,121.0,91.2,26.78,0.0%,0.0%,787.45
2013\K1\10X\02_03-2013_07_21-10_12-K1-10X.jpeg,OK,Clean image,2288,1712,134.0,121.5,88.6,30.29,0.0%,0.0%,156.25
2013\K1\10X\02_03-2013_07_27-09_53-K1-10X.jpeg,OK,Clean image,2288,1712,134.0,122.6,94.2,26.61,0.0%,0.0%,712.42
2013\K1\10X\02_03-2013_08_14-09_59-K1-10X.jpeg,OK,Clean image,2288,1712,141.6,121.7,107.8,22.62,0.5%,0.0%,2026.51
2013\K1\10X\02_03-2013_08_23-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,141.2,120.4,105.0,24.13,0.3%,0.0%,1735.06
2013\K1\10X\02_03-2013_09_03-10_06-K1-10X.jpeg,OK,Clean image,2288,1712,139.9,124.1,114.9,16.80,0.3%,0.0%,1586.85
2013\K1\10X\02_03-2013_09_04-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,133.3,118.2,109.0,16.41,0.3%,0.0%,1731.71
2013\K1\10X\02_03-2013_09_05-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,143.7,123.7,108.6,23.43,0.1%,0.0%,195.36
2013\K1\10X\02_03-2013_09_07-09_49-K1-10X.jpeg,OK,Clean image,2288,1712,132.2,118.9,112.0,13.91,0.4%,0.0%,1938.03
2013\K1\10X\02_03-2013_09_08-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,133.5,116.9,105.6,18.71,0.4%,0.0%,1855.61
2013\K1\10X\02_03-2013_09_09-09_55-K1-10X.jpeg,OK,Clean image,2288,1712,131.5,119.6,112.7,12.90,0.3%,0.0%,1679.69
2013\K1\10X\02_03-2013_09_11-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,133.5,117.7,109.2,16.50,0.5%,0.0%,2011.08
2013\K1\10X\02_03-2013_09_12-09_45-K1-10X.jpeg,OK,Clean image,2288,1712,126.3,116.2,111.6,10.77,0.3%,0.0%,1842.42
2013\K1\10X\02_03-2013_09_13-09_50-K1-10X.jpeg,OK,Clean image,2288,1712,127.6,116.1,111.7,11.54,0.4%,0.0%,1855.68
2013\K1\10X\02_03-2013_09_14-10_06-K1-10X.jpeg,OK,Clean image,2288,1712,137.7,124.2,116.0,14.75,0.4%,0.0%,1812.38
2013\K1\10X\02_03-2013_09_15-09_49-K1-10X.jpeg,OK,Clean image,2288,1712,125.9,116.0,113.2,9.67,0.2%,0.0%,1526.44
2013\K1\10X\02_03-2013_09_16-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,131.9,119.6,113.9,12.53,0.3%,0.0%,1731.28
2013\K1\10X\02_03-2013_09_19-10_59-K1-10X.jpeg,OK,Clean image,2288,1712,153.6,123.3,95.9,38.49,0.3%,0.0%,1205.38
2013\K1\10X\02_03-2013_09_20-10_06-K1-10X.jpeg,OK,Clean image,2288,1712,131.6,119.9,117.5,11.06,0.3%,0.0%,1558.32
2013\K1\10X\02_03-2013_09_21-09_44-K1-10X.jpeg,OK,Clean image,2288,1712,128.9,124.0,125.5,7.23,0.2%,0.0%,1220.43
2013\K1\10X\02_03-2013_09_22-09_54-K1-10X.jpeg,OK,Clean image,2288,1712,129.5,121.7,119.3,8.65,0.3%,0.0%,1412.07
2013\K1\10X\02_03-2013_09_23-10_04-K1-10X.jpeg,OK,Clean image,2288,1712,128.1,116.4,109.5,12.69,0.2%,0.0%,1381.60
2013\K1\10X\02_03-2013_09_24-10_16-K1-10X.jpeg,OK,Clean image,2288,1712,132.1,116.3,109.8,15.40,0.4%,0.0%,1851.06
2013\K1\10X\02_03-2013_09_25-09_54-K1-10X.jpeg,OK,Clean image,2288,1712,124.4,117.8,117.1,7.65,0.2%,0.0%,1201.70
2013\K1\10X\02_03-2013_09_27-10_01-K1-10X.jpeg,OK,Clean image,2288,1712,129.4,121.1,118.7,8.96,0.3%,0.0%,1471.19
2013\K1\10X\02_03-2013_09_28-09_48-K1-10X.jpeg,OK,Clean image,2288,1712,131.5,129.0,131.6,6.55,0.2%,0.0%,947.63
2013\K1\10X\02_03-2013_09_29-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,125.1,122.5,126.4,6.87,0.2%,0.0%,941.22
2013\K1\10X\02_03-2013_10_25-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,150.4,112.3,85.5,43.23,0.2%,0.0%,1189.02
2013\K1\10X\02_03-2013_10_26-10_08-K1-10X.jpeg,OK,Clean image,2288,1712,131.5,130.2,131.8,5.20,0.1%,0.0%,611.38
2013\K1\10X\02_03-2013_10_31-09_53-K1-10X.jpeg,OK,Clean image,2288,1712,126.7,118.0,116.9,8.75,0.3%,0.0%,1260.11
2013\K1\10X\02_03-2013_11_01-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,127.2,117.9,114.5,9.52,0.3%,0.0%,1198.95
2013\K1\10X\02_03-2013_11_03-09_48-K1-10X.jpeg,OK,Clean image,2288,1712,122.4,120.7,124.3,6.06,0.1%,0.0%,981.28
2013\K1\10X\02_03-2013_11_06-10_02-K1-10X.jpeg,OK,Clean image,2288,1712,163.5,128.4,95.0,45.69,0.3%,0.0%,1440.71
2013\K1\10X\02_03-2013_11_08-09_57-K1-10X.jpeg,OK,Clean image,2288,1712,151.2,112.2,104.9,30.99,0.1%,0.0%,765.16
2013\K1\10X\02_03-2013_11_09-10_08-K1-10X.jpeg,OK,Clean image,2288,1712,157.0,118.9,93.0,42.65,0.2%,0.0%,1168.20
2013\K1\10X\02_03-2013_11_11-09_52-K1-10X.jpeg,OK,Clean image,2288,1712,140.1,117.9,101.6,25.70,0.1%,0.0%,863.80
2013\K1\10X\02_03-2013_11_15-10_07-K1-10X.jpeg,OK,Clean image,2288,1712,145.1,116.1,91.7,35.56,0.1%,0.0%,945.11
2013\K1\10X\02_03-2013_11_17-10_05-K1-10X.jpeg,OK,Clean image,2288,1712,126.9,125.4,126.2,4.00,0.0%,0.0%,566.93
2013\K1\10X\02_03-2013_11_18-09_48-K1-10X.jpeg,OK,Clean image,2288,1712,151.2,120.7,94.4,37.89,0.1%,0.0%,941.03
2013\K1\10X\02_03-2013_11_19-10_03-K1-10X.jpeg,OK,Clean image,2288,1712,125.2,124.0,124.5,6.46,0.1%,0.0%,847.24
2013\K1\10X\02_03-2013_11_21-10_15-K1-10X.jpeg,OK,Clean image,2288,1712,128.6,123.1,120.5,7.71,0.2%,0.0%,1176.12
2013\K1\10X\02_03-2013_11_22-10_14-K1-10X.jpeg,OK,Clean image,2288,1712,128.7,124.5,125.1,6.04,0.1%,0.0%,883.90
2013\K1\10X\02_03-2013_11_24-10_11-K1-10X.jpeg,OK,Clean image,2288,1712,146.1,118.0,98.8,31.59,0.1%,0.0%,858.24
2013\K1\10X\02_03-2013_11_25-10_07-K1-10X.jpeg,OK,Clean image,2288,1712,142.5,111.9,96.9,30.39,0.1%,0.0%,882.06
